STUSPS,COUNTYGEOID,Population,riskType,risk
AL,01093,30776,Total Immunological (hazard quotient),0.011593937726833
AL,01095,93019,Total Immunological (hazard quotient),0.015999498484193
AL,01097,412992,Total Immunological (hazard quotient),0.023414086697081
AL,01099,23068,Total Immunological (hazard quotient),0.010295402556389
AL,01101,229363,Total Immunological (hazard quotient),0.02432032479862
AL,01103,119490,Total Immunological (hazard quotient),0.018672110456574
AL,01105,10591,Total Immunological (hazard quotient),0.010970728481247
AL,01107,19746,Total Immunological (hazard quotient),0.010878672671306
AL,01109,32899,Total Immunological (hazard quotient),0.015101783956497
AL,01111,22913,Total Immunological (hazard quotient),0.01154981090739
AL,01113,52947,Total Immunological (hazard quotient),0.019294669165635
AL,01115,83593,Total Immunological (hazard quotient),0.016556251619562
AL,01117,195085,Total Immunological (hazard quotient),0.020545851586253
AL,01119,13763,Total Immunological (hazard quotient),0.010509890706429
AL,01121,82291,Total Immunological (hazard quotient),0.016036592670565
AL,01123,41616,Total Immunological (hazard quotient),0.013318681457061
AL,01125,194656,Total Immunological (hazard quotient),0.027488593243792
AL,01127,67023,Total Immunological (hazard quotient),0.015269554904213
AL,01129,17581,Total Immunological (hazard quotient),0.014554417875884
AL,01131,11667,Total Immunological (hazard quotient),0.010696936544958
AL,01133,24484,Total Immunological (hazard quotient),0.012274246822897
AK,02013,3141,Total Immunological (hazard quotient),0.004323461558127
AK,02016,5561,Total Immunological (hazard quotient),0.005516941430215
AK,02020,291826,Total Immunological (hazard quotient),0.031201029879316
AK,02050,17013,Total Immunological (hazard quotient),0.004142684263288
AK,02060,997,Total Immunological (hazard quotient),0.004201666925764
AK,02068,1826,Total Immunological (hazard quotient),0.004135069343022
AK,02070,4847,Total Immunological (hazard quotient),0.004238090509422
AK,02090,97567,Total Immunological (hazard quotient),0.013772185844279
AK,02100,2508,Total Immunological (hazard quotient),0.004766172299055
AK,02105,2150,Total Immunological (hazard quotient),0.005147441131415
AK,02110,31275,Total Immunological (hazard quotient),0.013573558603341
AK,02122,55397,Total Immunological (hazard quotient),0.006633600073592
AK,02130,13477,Total Immunological (hazard quotient),0.016493434576133
AK,02150,13590,Total Immunological (hazard quotient),0.005514696864308
AK,02164,1630,Total Immunological (hazard quotient),0.004036033478528
AK,02170,88995,Total Immunological (hazard quotient),0.009633116122531
AK,02180,9492,Total Immunological (hazard quotient),0.004255453728006
AK,02185,9430,Total Immunological (hazard quotient),0.018689688743291
AK,02188,7523,Total Immunological (hazard quotient),0.005135852307403
AK,02195,3815,Total Immunological (hazard quotient),0.004809781939032
AK,02198,5559,Total Immunological (hazard quotient),0.004348560228954
AK,02220,8881,Total Immunological (hazard quotient),0.0069511337194
AK,02230,968,Total Immunological (hazard quotient),0.014881957436533
AK,02240,7029,Total Immunological (hazard quotient),0.004261042333419
AK,02261,9636,Total Immunological (hazard quotient),0.005641889398322
AK,02158,7459,Total Immunological (hazard quotient),0.004068651614384
AK,02275,2369,Total Immunological (hazard quotient),0.004300345045202
AK,02282,662,Total Immunological (hazard quotient),0.004066518558321
AK,02290,5588,Total Immunological (hazard quotient),0.004100154172645
AZ,04001,71518,Total Immunological (hazard quotient),0.002509261155979
AZ,04003,131346,Total Immunological (hazard quotient),0.004434291353632
AZ,04005,134421,Total Immunological (hazard quotient),0.005610803532646
AZ,04007,53596,Total Immunological (hazard quotient),0.004013990395187
AZ,04009,37220,Total Immunological (hazard quotient),0.00400997936395
AZ,04011,8437,Total Immunological (hazard quotient),0.004710097386358
AZ,04012,20489,Total Immunological (hazard quotient),0.004400625581889
AZ,04013,3817117,Total Immunological (hazard quotient),0.01498700833164
AZ,04015,200186,Total Immunological (hazard quotient),0.006175188853982
AZ,04017,107449,Total Immunological (hazard quotient),0.003279893760277
AZ,04019,980258,Total Immunological (hazard quotient),0.021008206482854
AZ,04021,375770,Total Immunological (hazard quotient),0.007682980271753
AZ,04023,47420,Total Immunological (hazard quotient),0.008055163718679
AZ,04025,211033,Total Immunological (hazard quotient),0.005645078532743
AZ,04027,195751,Total Immunological (hazard quotient),0.010183713859132
AR,05001,19019,Total Immunological (hazard quotient),0.010917151557366
AR,05003,21853,Total Immunological (hazard quotient),0.009208291084657
AR,05005,41513,Total Immunological (hazard quotient),0.012228739089402
AR,05007,221339,Total Immunological (hazard quotient),0.015197875129323
AR,05009,36903,Total Immunological (hazard quotient),0.010287879591954
AR,05011,11508,Total Immunological (hazard quotient),0.008968688602954
AR,05013,5368,Total Immunological (hazard quotient),0.008398539266303
AR,05015,27446,Total Immunological (hazard quotient),0.008390235862421
AR,05017,11800,Total Immunological (hazard quotient),0.008294579814035
AR,05019,22995,Total Immunological (hazard quotient),0.010320954228729
AR,05021,16083,Total Immunological (hazard quotient),0.010011171510217
AR,05023,25970,Total Immunological (hazard quotient),0.010664725700885
AR,05025,8689,Total Immunological (hazard quotient),0.007924516181092
AR,05027,24552,Total Immunological (hazard quotient),0.01117305862407
AR,05029,21273,Total Immunological (hazard quotient),0.011593541025631
AR,05031,96443,Total Immunological (hazard quotient),0.014747141597035
AR,05033,61948,Total Immunological (hazard quotient),0.013274073340109
AR,05035,50902,Total Immunological (hazard quotient),0.015138860545658
AR,05037,17870,Total Immunological (hazard quotient),0.017073730517666
AR,05039,8116,Total Immunological (hazard quotient),0.008444930965
AR,05041,13008,Total Immunological (hazard quotient),0.008911610823418
AR,05043,18509,Total Immunological (hazard quotient),0.009208429747152
AR,05045,113237,Total Immunological (hazard quotient),0.017815747209064
AR,05047,18125,Total Immunological (hazard quotient),0.009224990488944
AR,05049,12245,Total Immunological (hazard quotient),0.009659787269034
AR,05051,96024,Total Immunological (hazard quotient),0.011524303129875
AR,05053,17853,Total Immunological (hazard quotient),0.009403315959323
AR,05055,42090,Total Immunological (hazard quotient),0.016032916442761
AR,05057,22609,Total Immunological (hazard quotient),0.010067536768691
AR,05059,32923,Total Immunological (hazard quotient),0.010145155196185
AR,05061,13781,Total Immunological (hazard quotient),0.009913812867669
AR,05063,36647,Total Immunological (hazard quotient),0.010829680185299
AR,05065,13696,Total Immunological (hazard quotient),0.008867501647807
AR,05067,17997,Total Immunological (hazard quotient),0.011084724366914
AR,05069,77435,Total Immunological (hazard quotient),0.011174627208645
AR,05071,25540,Total Immunological (hazard quotient),0.010476743564837
AR,05073,7645,Total Immunological (hazard quotient),0.009229056005839
AR,05075,17415,Total Immunological (hazard quotient),0.010260214562645
AR,05077,10424,Total Immunological (hazard quotient),0.008775956733862
AR,05079,14134,Total Immunological (hazard quotient),0.008030882988653
AR,05081,13171,Total Immunological (hazard quotient),0.009581769738326
AR,05083,22353,Total Immunological (hazard quotient),0.00997560060281
AR,05085,68356,Total Immunological (hazard quotient),0.011584720718346
AR,05087,15717,Total Immunological (hazard quotient),0.007917172402459
AR,05089,16653,Total Immunological (hazard quotient),0.009601973218972
AR,05091,43462,Total Immunological (hazard quotient),0.011915626596319
AR,05093,46480,Total Immunological (hazard quotient),0.012829422531448
AR,05095,8149,Total Immunological (hazard quotient),0.009235056563462
AR,05097,9487,Total Immunological (hazard quotient),0.007769558795242
AR,05099,8997,Total Immunological (hazard quotient),0.008958781616925
AR,05101,8330,Total Immunological (hazard quotient),0.008223013894386
AR,05103,26120,Total Immunological (hazard quotient),0.010678996047263
AR,05105,10445,Total Immunological (hazard quotient),0.009734111720743
AR,05107,21757,Total Immunological (hazard quotient),0.009992248723339
AR,05109,11291,Total Immunological (hazard quotient),0.008095385362793
AR,05111,24583,Total Immunological (hazard quotient),0.01027418826851
AR,05113,20662,Total Immunological (hazard quotient),0.008438529657915
AR,05115,61754,Total Immunological (hazard quotient),0.013006201144225
AR,05117,8715,Total Immunological (hazard quotient),0.008741047662628
AR,05119,382748,Total Immunological (hazard quotient),0.017569700808219
AR,05121,17969,Total Immunological (hazard quotient),0.010540398628534
AR,05123,28258,Total Immunological (hazard quotient),0.010556914718014
AR,05125,107118,Total Immunological (hazard quotient),0.012495888064764
AR,05127,11233,Total Immunological (hazard quotient),0.008090811762165
AR,05129,8195,Total Immunological (hazard quotient),0.008169441209261
AR,05131,125744,Total Immunological (hazard quotient),0.017421596954778
AR,05133,17058,Total Immunological (hazard quotient),0.008443729150095
AR,05135,17264,Total Immunological (hazard quotient),0.009873659067465
AR,05137,12394,Total Immunological (hazard quotient),0.00855494050884
AR,05139,41639,Total Immunological (hazard quotient),0.011084120049295
AR,05141,17295,Total Immunological (hazard quotient),0.009828595845969
AR,05143,203065,Total Immunological (hazard quotient),0.015719146366965
AR,05145,77076,Total Immunological (hazard quotient),0.012261527860567
AR,05147,7260,Total Immunological (hazard quotient),0.009017815651743
AR,05149,22185,Total Immunological (hazard quotient),0.009735728608378
CA,06001,1510122,Total Immunological (hazard quotient),0.019966097142673
CA,06003,1175,Total Immunological (hazard quotient),0.002539494316253
CA,06005,38091,Total Immunological (hazard quotient),0.010084726326901
CA,06007,220000,Total Immunological (hazard quotient),0.011777822651788
CA,06009,45578,Total Immunological (hazard quotient),0.00646597987533
CA,06011,21419,Total Immunological (hazard quotient),0.008726626259832
CA,06013,1048991,Total Immunological (hazard quotient),0.015848229112504
CA,06015,28610,Total Immunological (hazard quotient),0.006507839004815
CA,06017,181058,Total Immunological (hazard quotient),0.009398140464362
CA,06019,930450,Total Immunological (hazard quotient),0.017629083559701
CA,06021,28122,Total Immunological (hazard quotient),0.008129527137365
CA,06023,134620,Total Immunological (hazard quotient),0.006933929195618
CA,06025,174528,Total Immunological (hazard quotient),0.020708870097852
CA,06027,18546,Total Immunological (hazard quotient),0.003125800068784
CA,06029,839631,Total Immunological (hazard quotient),0.01690145674874
CA,06031,152980,Total Immunological (hazard quotient),0.011590702507692
CA,06033,64665,Total Immunological (hazard quotient),0.006789088648771
CA,06035,34895,Total Immunological (hazard quotient),0.003772920920004
CA,06037,9818566,Total Immunological (hazard quotient),0.039290459880986
CA,06039,150865,Total Immunological (hazard quotient),0.01280988086313
CA,06041,252405,Total Immunological (hazard quotient),0.009200160966625
CA,06043,18251,Total Immunological (hazard quotient),0.005149245035004
CA,06045,87841,Total Immunological (hazard quotient),0.005883329266778
CA,06047,255793,Total Immunological (hazard quotient),0.013623038896752
CA,06049,9686,Total Immunological (hazard quotient),0.003752585237215
CA,06051,14202,Total Immunological (hazard quotient),0.002588400823762
CA,06053,415057,Total Immunological (hazard quotient),0.013715660040423
CA,06055,136484,Total Immunological (hazard quotient),0.008898569254048
CA,06057,98764,Total Immunological (hazard quotient),0.008043192462031
CA,06059,3010232,Total Immunological (hazard quotient),0.036279861724976
CA,06061,348432,Total Immunological (hazard quotient),0.020438348498489
CA,06063,20007,Total Immunological (hazard quotient),0.004863292462615
CA,06065,2189636,Total Immunological (hazard quotient),0.018425907536221
CA,06067,1418788,Total Immunological (hazard quotient),0.022131970240769
CA,06069,55269,Total Immunological (hazard quotient),0.016760067394015
CA,06071,2035208,Total Immunological (hazard quotient),0.023308194271169
CA,06073,3095308,Total Immunological (hazard quotient),0.028050718529542
CA,06075,805235,Total Immunological (hazard quotient),0.029586106879936
CA,06077,685303,Total Immunological (hazard quotient),0.018614398735713
CA,06079,269637,Total Immunological (hazard quotient),0.008650522646986
CA,06081,718451,Total Immunological (hazard quotient),0.01492564205081
CA,06083,423895,Total Immunological (hazard quotient),0.010135152039207
CA,06085,1781642,Total Immunological (hazard quotient),0.019896509445139
CA,06087,262382,Total Immunological (hazard quotient),0.0184607524408
CA,06089,177223,Total Immunological (hazard quotient),0.009214658305537
CA,06091,3240,Total Immunological (hazard quotient),0.004156587938842
CA,06093,44900,Total Immunological (hazard quotient),0.007363235699968
CA,06095,413342,Total Immunological (hazard quotient),0.012509548887343
CA,06097,483878,Total Immunological (hazard quotient),0.010464473050012
CA,06099,514453,Total Immunological (hazard quotient),0.017188246340232
CA,06101,94737,Total Immunological (hazard quotient),0.012922011561225
CA,06103,63463,Total Immunological (hazard quotient),0.007514243861061
CA,06105,13786,Total Immunological (hazard quotient),0.004617977781257
CA,06107,442179,Total Immunological (hazard quotient),0.014001494235631
CA,06109,55365,Total Immunological (hazard quotient),0.008854651022666
CA,06111,823318,Total Immunological (hazard quotient),0.01791110468834
CA,06113,200849,Total Immunological (hazard quotient),0.014354975524126
CA,06115,72155,Total Immunological (hazard quotient),0.012654398131874
CO,08001,441603,Total Immunological (hazard quotient),0.026599039165792
CO,08003,15445,Total Immunological (hazard quotient),0.004819060574903
CO,08005,572003,Total Immunological (hazard quotient),0.023714247590098
CO,08007,12084,Total Immunological (hazard quotient),0.002911473626361
CO,08009,3788,Total Immunological (hazard quotient),0.003325822066489
CO,08011,6499,Total Immunological (hazard quotient),0.004259173321447
CO,08013,294567,Total Immunological (hazard quotient),0.014173452949636
CO,08014,55889,Total Immunological (hazard quotient),0.021270654319001
CO,08015,17809,Total Immunological (hazard quotient),0.002739660023546
CO,08017,1836,Total Immunological (hazard quotient),0.00388940406363
CO,08019,9088,Total Immunological (hazard quotient),0.003833590941804
CO,08021,8256,Total Immunological (hazard quotient),0.002516434176138
CO,08023,3524,Total Immunological (hazard quotient),0.002364502086339
CO,08025,5823,Total Immunological (hazard quotient),0.003639661261962
CO,08027,4255,Total Immunological (hazard quotient),0.001987787495059
CO,08029,30952,Total Immunological (hazard quotient),0.004003072965402
CO,08031,600158,Total Immunological (hazard quotient),0.033931254019531
CO,08033,2064,Total Immunological (hazard quotient),0.002409636140324
CO,08035,285465,Total Immunological (hazard quotient),0.013625123687033
CO,08037,52197,Total Immunological (hazard quotient),0.003704630198226
CO,08039,23086,Total Immunological (hazard quotient),0.005577305252313
CO,08041,622263,Total Immunological (hazard quotient),0.012367151122645
CO,08043,46824,Total Immunological (hazard quotient),0.003991799282285
CO,08045,56389,Total Immunological (hazard quotient),0.008486888085875
CO,08047,5441,Total Immunological (hazard quotient),0.003434371737748
CO,08049,14843,Total Immunological (hazard quotient),0.003149298945704
CO,08051,15324,Total Immunological (hazard quotient),0.003132416755946
CO,08053,843,Total Immunological (hazard quotient),0.001650552834164
CO,08055,6711,Total Immunological (hazard quotient),0.003250558987704
CO,08057,1394,Total Immunological (hazard quotient),0.002894712693124
CO,08059,534543,Total Immunological (hazard quotient),0.020223082231622
CO,08061,1398,Total Immunological (hazard quotient),0.003234943530154
CO,08063,8270,Total Immunological (hazard quotient),0.005323251156939
CO,08065,7310,Total Immunological (hazard quotient),0.0026852805577
CO,08067,51334,Total Immunological (hazard quotient),0.003894812432313
CO,08069,299630,Total Immunological (hazard quotient),0.013745551576007
CO,08071,15507,Total Immunological (hazard quotient),0.003664821883304
CO,08073,5467,Total Immunological (hazard quotient),0.005301702998405
CO,08075,22709,Total Immunological (hazard quotient),0.006201653998298
CO,08077,146723,Total Immunological (hazard quotient),0.008723466415468
CO,08079,712,Total Immunological (hazard quotient),0.001917500203588
CO,08081,13795,Total Immunological (hazard quotient),0.00649311369636
CO,08083,25535,Total Immunological (hazard quotient),0.003308923168193
CO,08085,41276,Total Immunological (hazard quotient),0.005010871734481
CO,08087,28159,Total Immunological (hazard quotient),0.008685585327261
CO,08089,18831,Total Immunological (hazard quotient),0.004433913310924
CO,08091,4436,Total Immunological (hazard quotient),0.002063050909476
CO,08093,16206,Total Immunological (hazard quotient),0.00308220785294
CO,08095,4442,Total Immunological (hazard quotient),0.004914765547928
CO,08097,17148,Total Immunological (hazard quotient),0.003085416089636
CO,08099,12551,Total Immunological (hazard quotient),0.004483908267737
CO,08101,159063,Total Immunological (hazard quotient),0.009643249611887
CO,08103,6666,Total Immunological (hazard quotient),0.004686070960535
CO,08105,11982,Total Immunological (hazard quotient),0.003012548066594
CO,08107,23509,Total Immunological (hazard quotient),0.004052187720271
CO,08109,6108,Total Immunological (hazard quotient),0.002217336176121
CO,08111,699,Total Immunological (hazard quotient),0.002030293391784
CO,08113,7359,Total Immunological (hazard quotient),0.001974050613704
CO,08115,2379,Total Immunological (hazard quotient),0.004017994012904
CO,08117,27994,Total Immunological (hazard quotient),0.003580034465476
CO,08119,23350,Total Immunological (hazard quotient),0.003232295704816
CO,08121,4814,Total Immunological (hazard quotient),0.004426294531462
CO,08123,252815,Total Immunological (hazard quotient),0.022721132793736
CO,08125,10043,Total Immunological (hazard quotient),0.004695782515608
CT,09001,916826,Total Immunological (hazard quotient),0.032046008172745
CT,09003,894014,Total Immunological (hazard quotient),0.035988489882699
CT,09005,189927,Total Immunological (hazard quotient),0.020161706564461
CT,09007,165676,Total Immunological (hazard quotient),0.027716794687821
CT,09009,862477,Total Immunological (hazard quotient),0.032730728926307
CT,09011,274055,Total Immunological (hazard quotient),0.020389692279084
CT,09013,152691,Total Immunological (hazard quotient),0.022053352548241
CT,09015,118428,Total Immunological (hazard quotient),0.018376221298159
DE,10001,162310,Total Immunological (hazard quotient),0.025019142469219
DE,10003,538461,Total Immunological (hazard quotient),0.029724870653459
DE,10005,197145,Total Immunological (hazard quotient),0.017224026662998
DC,11001,601723,Total Immunological (hazard quotient),0.037126182058067
FL,12001,247336,Total Immunological (hazard quotient),0.012861251322638
FL,12003,27115,Total Immunological (hazard quotient),0.00886115714289
FL,12005,168852,Total Immunological (hazard quotient),0.011527575479271
FL,12007,28520,Total Immunological (hazard quotient),0.008914315594463
FL,12009,543376,Total Immunological (hazard quotient),0.011479320273485
FL,12011,1748065,Total Immunological (hazard quotient),0.022086556738681
FL,12013,14625,Total Immunological (hazard quotient),0.008444795651327
FL,12015,159978,Total Immunological (hazard quotient),0.009259496778969
FL,12017,141236,Total Immunological (hazard quotient),0.01020038199028
FL,12019,190865,Total Immunological (hazard quotient),0.012374956297539
FL,12021,321520,Total Immunological (hazard quotient),0.009537574540259
FL,12023,67531,Total Immunological (hazard quotient),0.009228994963323
FL,12027,34862,Total Immunological (hazard quotient),0.009215600071487
FL,12029,16422,Total Immunological (hazard quotient),0.00723767156876
FL,12031,864262,Total Immunological (hazard quotient),0.017073580609163
FL,12033,297619,Total Immunological (hazard quotient),0.013168573200625
FL,12035,95696,Total Immunological (hazard quotient),0.008883294972946
FL,12037,11549,Total Immunological (hazard quotient),0.00670614335169
FL,12039,46389,Total Immunological (hazard quotient),0.009690821336803
FL,12041,16939,Total Immunological (hazard quotient),0.007703989966311
FL,12043,12884,Total Immunological (hazard quotient),0.00819378847571
FL,12045,15863,Total Immunological (hazard quotient),0.00758106986542
FL,12047,14799,Total Immunological (hazard quotient),0.007632505981078
FL,12049,27731,Total Immunological (hazard quotient),0.00896333710876
FL,12051,39140,Total Immunological (hazard quotient),0.009384852862046
FL,12053,172778,Total Immunological (hazard quotient),0.010959500674405
FL,12055,98786,Total Immunological (hazard quotient),0.009576951854394
FL,12057,1226699,Total Immunological (hazard quotient),0.017606921688361
FL,12059,19927,Total Immunological (hazard quotient),0.009218109789719
FL,12061,138028,Total Immunological (hazard quotient),0.00887258852717
FL,12063,49746,Total Immunological (hazard quotient),0.009303640526089
FL,12065,14761,Total Immunological (hazard quotient),0.008957771644698
FL,12067,8870,Total Immunological (hazard quotient),0.006974599381179
FL,12069,297050,Total Immunological (hazard quotient),0.011387735780474
FL,12071,618754,Total Immunological (hazard quotient),0.01043459065239
FL,12073,275487,Total Immunological (hazard quotient),0.014260224498673
FL,12075,40801,Total Immunological (hazard quotient),0.008042841530417
FL,12077,8365,Total Immunological (hazard quotient),0.007726596729148
FL,12079,19224,Total Immunological (hazard quotient),0.008439550962984
FL,12081,322833,Total Immunological (hazard quotient),0.012757481532633
FL,12083,331298,Total Immunological (hazard quotient),0.011467414627226
FL,12085,146318,Total Immunological (hazard quotient),0.010403614697924
FL,12086,2496435,Total Immunological (hazard quotient),0.025243855907939
FL,12087,73090,Total Immunological (hazard quotient),0.006501842596321
FL,12089,73314,Total Immunological (hazard quotient),0.010123065802906
FL,12091,180822,Total Immunological (hazard quotient),0.011179660191524
FL,12093,39996,Total Immunological (hazard quotient),0.008586945214201
FL,12095,1145956,Total Immunological (hazard quotient),0.017064626150814
FL,12097,268685,Total Immunological (hazard quotient),0.013234655139173
FL,12099,1320134,Total Immunological (hazard quotient),0.015159480335712
FL,12101,464697,Total Immunological (hazard quotient),0.012060316353481
FL,12103,916541,Total Immunological (hazard quotient),0.019292740767962
FL,12105,602095,Total Immunological (hazard quotient),0.012372972983028
FL,12107,74364,Total Immunological (hazard quotient),0.008880263230055
FL,12109,190039,Total Immunological (hazard quotient),0.010673186252286
FL,12111,277789,Total Immunological (hazard quotient),0.010844783037886
FL,12113,151372,Total Immunological (hazard quotient),0.010788699903523
FL,12115,379448,Total Immunological (hazard quotient),0.011082878742993
FL,12117,422718,Total Immunological (hazard quotient),0.015063813868429
FL,12119,93420,Total Immunological (hazard quotient),0.01125815485968
FL,12121,41551,Total Immunological (hazard quotient),0.007977234997632
FL,12123,22566,Total Immunological (hazard quotient),0.008003211232752
FL,12125,15535,Total Immunological (hazard quotient),0.008043958540107
FL,12127,494593,Total Immunological (hazard quotient),0.011751426053038
FL,12129,30776,Total Immunological (hazard quotient),0.008776617932329
FL,12131,55043,Total Immunological (hazard quotient),0.009171063339841
FL,12133,24896,Total Immunological (hazard quotient),0.009033628328998
GA,13001,18236,Total Immunological (hazard quotient),0.009154758479607
GA,13003,8375,Total Immunological (hazard quotient),0.008873875419772
GA,13005,11096,Total Immunological (hazard quotient),0.008831078031551
GA,13007,3451,Total Immunological (hazard quotient),0.008753139271796
GA,13009,45720,Total Immunological (hazard quotient),0.015157031201147
GA,13011,18395,Total Immunological (hazard quotient),0.014064577411212
GA,13013,69367,Total Immunological (hazard quotient),0.018483138995979
GA,13015,100157,Total Immunological (hazard quotient),0.019641395164966
GA,13017,17634,Total Immunological (hazard quotient),0.011532433057124
GA,13019,19286,Total Immunological (hazard quotient),0.009881208630269
GA,13021,155538,Total Immunological (hazard quotient),0.019261850308086
GA,13023,13063,Total Immunological (hazard quotient),0.012482594908616
GA,13025,18411,Total Immunological (hazard quotient),0.008203825841192
GA,13027,16243,Total Immunological (hazard quotient),0.009661958958614
GA,13029,30233,Total Immunological (hazard quotient),0.011631800776317
GA,13031,70217,Total Immunological (hazard quotient),0.011787003244037
GA,13033,23316,Total Immunological (hazard quotient),0.011924287991402
GA,13035,23655,Total Immunological (hazard quotient),0.016603960929028
GA,13037,6694,Total Immunological (hazard quotient),0.00957955891181
GA,13039,50513,Total Immunological (hazard quotient),0.009918387915369
GA,13043,10998,Total Immunological (hazard quotient),0.009920467658544
GA,13045,110527,Total Immunological (hazard quotient),0.014958308280377
GA,13047,63942,Total Immunological (hazard quotient),0.021697752605049
GA,13049,12171,Total Immunological (hazard quotient),0.008710958993171
GA,13051,265128,Total Immunological (hazard quotient),0.022084068395352
GA,13053,11267,Total Immunological (hazard quotient),0.013084168293548
GA,13055,26007,Total Immunological (hazard quotient),0.014582019164947
GA,13057,214346,Total Immunological (hazard quotient),0.020220808680928
GA,13059,116714,Total Immunological (hazard quotient),0.021221111048905
GA,13061,3183,Total Immunological (hazard quotient),0.010036116020148
GA,13063,259424,Total Immunological (hazard quotient),0.027094448987127
GA,13065,6792,Total Immunological (hazard quotient),0.008284556119505
GA,13067,688078,Total Immunological (hazard quotient),0.030016223081427
GA,13069,42356,Total Immunological (hazard quotient),0.015699345713052
GA,13071,45498,Total Immunological (hazard quotient),0.010950685018142
GA,13073,124053,Total Immunological (hazard quotient),0.018041396933581
GA,13075,17212,Total Immunological (hazard quotient),0.010669688494508
GA,13077,127317,Total Immunological (hazard quotient),0.016245988042678
GA,13079,12630,Total Immunological (hazard quotient),0.011767020742101
GA,13081,23439,Total Immunological (hazard quotient),0.011293927660787
GA,13083,16633,Total Immunological (hazard quotient),0.012586102828222
GA,13085,22330,Total Immunological (hazard quotient),0.01361896521365
GA,13087,27842,Total Immunological (hazard quotient),0.01024971048978
GA,13089,691893,Total Immunological (hazard quotient),0.030579417742085
GA,13091,21796,Total Immunological (hazard quotient),0.010579648277147
GA,13093,14918,Total Immunological (hazard quotient),0.009903231072793
GA,13095,94565,Total Immunological (hazard quotient),0.015352555528196
GA,13097,132403,Total Immunological (hazard quotient),0.018616091077801
GA,13099,11008,Total Immunological (hazard quotient),0.010164361044941
GA,13101,4034,Total Immunological (hazard quotient),0.007804633308529
GA,13103,52250,Total Immunological (hazard quotient),0.012198661629756
GA,13105,20166,Total Immunological (hazard quotient),0.012977341973439
GA,13107,22598,Total Immunological (hazard quotient),0.010641448529615
GA,13109,11000,Total Immunological (hazard quotient),0.010148119730845
GA,13111,23682,Total Immunological (hazard quotient),0.010453671184437
GA,13113,106567,Total Immunological (hazard quotient),0.016975780168097
GA,13115,96317,Total Immunological (hazard quotient),0.017911691729456
GA,13117,175511,Total Immunological (hazard quotient),0.01945300896997
GA,13119,22084,Total Immunological (hazard quotient),0.015178338634592
GA,13121,920581,Total Immunological (hazard quotient),0.029088545731388
GA,13123,28292,Total Immunological (hazard quotient),0.010818058663095
GA,13125,3082,Total Immunological (hazard quotient),0.009628155599877
